day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/11/1,Aztec Connect,523,224.2705503,0,224.2705503,224.2705503,125,79989.40868,217400.7128,-137411.3041,297390.1215
2022/11/2,Aztec Connect,461,294.4960191,0,294.4960191,294.4960191,123,208341.1438,254764.5926,-46423.44876,463105.7363
2022/11/3,Aztec Connect,410,170.9762917,0,170.9762917,170.9762917,72,46262.71463,71077.7228,-24815.00818,117340.4374
2022/11/4,Aztec Connect,411,213.9527417,0,213.9527417,213.9527417,197,506248.6897,592519.8834,-86271.19368,1.10E+06
2022/11/5,Aztec Connect,615,344.2249263,0,344.2249263,344.2249263,111,132625.5632,122481.7822,10143.78099,255107.3454
2022/11/6,Aztec Connect,524,258.9571447,0,258.9571447,258.9571447,108,181244.9276,106074.3162,75170.61139,287319.2439
2022/11/7,Aztec Connect,639,282.3865375,0,282.3865375,282.3865375,110,227739.0487,221518.8556,6220.193124,449257.9043
2022/11/8,Aztec Connect,846,195.8454431,0,195.8454431,195.8454431,113,166371.3471,160820.3108,5551.036329,327191.6579
2022/11/9,Aztec Connect,576,282.502639,0,282.502639,282.502639,109,68907.225,187191.5699,-118284.3449,256098.7949
2022/11/10,Aztec Connect,444,456.262865,0,456.262865,456.262865,113,140539.1529,132396.1479,8143.005011,272935.3008
2022/11/11,Aztec Connect,552,406.4042197,0,406.4042197,406.4042197,143,271388.7453,281285.5019,-9896.756653,552674.2472
2022/11/12,Aztec Connect,861,354.3857425,0,354.3857425,354.3857425,119,161779.3246,137088.5044,24690.82016,298867.829
2022/11/13,Aztec Connect,1021,748.4624947,0,748.4624947,748.4624947,128,133076.2386,123335.385,9740.853555,256411.6236
2022/11/14,Aztec Connect,1022,681.956114,0,681.956114,681.956114,97,81480.89391,99051.68422,-17570.79031,180532.5781
2022/11/15,Aztec Connect,734,579.1526669,0,579.1526669,579.1526669,76,93268.08648,119762.8397,-26494.7532,213030.9262
2022/11/16,Aztec Connect,745,513.2002724,0,513.2002724,513.2002724,96,93787.78452,95307.87518,-1520.090659,189095.6597
2022/11/17,Aztec Connect,758,289.7262007,0,289.7262007,289.7262007,167,163703.3921,227850.6149,-64147.22285,391554.007
2022/11/18,Aztec Connect,925,868.983847,0,868.983847,868.983847,109,54401.88721,111804.8371,-57402.94992,166206.7243
2022/11/19,Aztec Connect,778,591.003338,0,591.003338,591.003338,157,257017.9456,203999.7017,53018.24392,461017.6473
2022/11/20,Aztec Connect,975,618.5672221,0,618.5672221,618.5672221,163,207847.1236,211217.6715,-3370.547882,419064.7952
