day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2023/1/30,Messier 87 Black Hole,5,0,0,0,0,12,0,0,0,0
2023/1/31,Messier 87 Black Hole,14,0.149591837,1.594690399,-1.445098562,1.744282236,30,1011.448695,134.9511575,876.4975373,1146.399852
2023/2/1,Messier 87 Black Hole,9,0,0,0,0,16,0,0,0,0
2023/2/2,Messier 87 Black Hole,9,0,0,0,0,8,0,0,0,0
2023/2/3,Messier 87 Black Hole,9,0,0,0,0,22,0,0,0,0
2023/2/4,Messier 87 Black Hole,4,0,0,0,0,17,0,0,0,0
2023/2/5,Messier 87 Black Hole,9,0,0,0,0,18,0,0,0,0
2023/2/6,Messier 87 Black Hole,14,0,0,0,0,24,0,0,0,0
2023/2/7,Messier 87 Black Hole,2,0,0,0,0,14,0,0,0,0
2023/2/8,Messier 87 Black Hole,1,0,0,0,0,5,0,0,0,0
2023/2/9,Messier 87 Black Hole,7,0,0,0,0,12,0,0,0,0
2023/2/10,Messier 87 Black Hole,0,0,0,0,0,7,0,0,0,0
2023/2/11,Messier 87 Black Hole,10,0,0,0,0,13,0,0,0,0
2023/2/12,Messier 87 Black Hole,9,0,0,0,0,28,0,0,0,0
2023/2/13,Messier 87 Black Hole,13,0,0,0,0,41,0,2001.887174,-2001.887174,2001.887174
2023/2/14,Messier 87 Black Hole,7,0,0,0,0,12,0,0,0,0
2023/2/15,Messier 87 Black Hole,11,0,0,0,0,38,0,0,0,0
2023/2/16,Messier 87 Black Hole,5,0,0,0,0,13,0,0,0,0
2023/2/17,Messier 87 Black Hole,2,0,0,0,0,10,0,0,0,0
2023/2/18,Messier 87 Black Hole,9,0,0,0,0,31,0,0,0,0
2023/2/19,Messier 87 Black Hole,3,0,0,0,0,11,0,0,0,0
2023/2/20,Messier 87 Black Hole,9,0,0,0,0,16,0,0,0,0
2023/2/21,Messier 87 Black Hole,8,0,0,0,0,7,0,0,0,0
2023/2/22,Messier 87 Black Hole,6,0,0,0,0,9,0,0,0,0
2023/2/23,Messier 87 Black Hole,1,0,0,0,0,2,0,0,0,0
2023/2/24,Messier 87 Black Hole,3,0,0.62,-0.62,0.62,10,0,0,0,0
2023/2/25,Messier 87 Black Hole,1,0,0,0,0,3,0,0,0,0
2023/2/26,Messier 87 Black Hole,8,0,0,0,0,13,0,0,0,0
2023/2/27,Messier 87 Black Hole,7,0,0,0,0,35,0,0,0,0
2023/2/28,Messier 87 Black Hole,4,0,0,0,0,11,0,0,0,0
2023/3/1,Messier 87 Black Hole,6,0,3.054774261,-3.054774261,3.054774261,21,5002.036944,5002.036944,0,10004.07389
2023/3/2,Messier 87 Black Hole,3,0,0.26,-0.26,0.26,15,0,0,0,0
2023/3/3,Messier 87 Black Hole,3,0,0.6,-0.6,0.6,5,0,0,0,0
2023/3/4,Messier 87 Black Hole,3,0,0.2,-0.2,0.2,15,0,0,0,0
